# epics, ioc, card, slot, link, farow, mml1, slow
SR01A-PC-HSTR-01,SR01A-CS-FOFB-01,5,0,1,0,1,0
SR01A-PC-HSTR-02,SR01A-CS-FOFB-01,5,1,1,1,2,0
SR01A-PC-HSTR-03,SR01A-CS-FOFB-01,5,2,1,2,3,0
SR01A-PC-HSTR-04,SR01A-CS-FOFB-01,5,3,1,3,4,0
SR01A-PC-HSTR-05,SR01A-CS-FOFB-01,6,0,1,4,5,0
SR01A-PC-HSTR-06,SR01A-CS-FOFB-01,6,1,1,5,6,0
SR01A-PC-HSTR-07,SR01A-CS-FOFB-01,6,2,1,6,7,0
SR02A-PC-HSTR-01,SR02A-CS-FOFB-01,5,0,1,0,8,0
SR02A-PC-HSTR-04,SR02A-CS-FOFB-01,5,1,1,1,9,0
SR02A-PC-HSTR-05,SR02A-CS-FOFB-01,5,2,1,2,10,0
SR02A-PC-HSCOR-01,SR02A-CS-FOFB-01,5,3,1,3,11,1
SR02A-PC-HSCOR-02,SR02A-CS-FOFB-01,6,0,1,4,12,1
SR02A-PC-HSTR-07,SR02A-CS-FOFB-01,6,1,1,5,13,0
SR02A-PC-HSTR-08,SR02A-CS-FOFB-01,6,2,1,6,14,0
SR02A-PC-HSTR-10,SR02A-CS-FOFB-01,6,3,1,7,15,0
SR03A-PC-HSTR-01,SR03A-CS-FOFB-01,5,0,1,0,16,0
SR03A-PC-HSTR-02,SR03A-CS-FOFB-01,5,1,1,1,17,0
SR03A-PC-HSTR-03,SR03A-CS-FOFB-01,5,2,1,2,18,0
SR03A-PC-HSTR-04,SR03A-CS-FOFB-01,5,3,1,3,19,0
SR03A-PC-HSTR-05,SR03A-CS-FOFB-01,6,0,1,4,20,0
SR03A-PC-HSTR-06,SR03A-CS-FOFB-01,6,1,1,5,21,0
SR03A-PC-HSTR-07,SR03A-CS-FOFB-01,6,2,1,6,22,0
SR04A-PC-HSTR-01,SR04A-CS-FOFB-01,5,0,1,0,23,0
SR04A-PC-HSTR-02,SR04A-CS-FOFB-01,5,1,1,1,24,0
SR04A-PC-HSTR-03,SR04A-CS-FOFB-01,5,2,1,2,25,0
SR04A-PC-HSTR-04,SR04A-CS-FOFB-01,5,3,1,3,26,0
SR04A-PC-HSTR-05,SR04A-CS-FOFB-01,6,0,1,4,27,0
SR04A-PC-HSTR-06,SR04A-CS-FOFB-01,6,1,1,5,28,0
SR04A-PC-HSTR-07,SR04A-CS-FOFB-01,6,2,1,6,29,0
SR05A-PC-HSTR-01,SR05A-CS-FOFB-01,5,0,1,0,30,0
SR05A-PC-HSTR-02,SR05A-CS-FOFB-01,5,1,1,1,31,0
SR05A-PC-HSTR-03,SR05A-CS-FOFB-01,5,2,1,2,32,0
SR05A-PC-HSTR-04,SR05A-CS-FOFB-01,5,3,1,3,33,0
SR05A-PC-HSTR-05,SR05A-CS-FOFB-01,6,0,1,4,34,0
SR05A-PC-HSTR-06,SR05A-CS-FOFB-01,6,1,1,5,35,0
SR05A-PC-HSTR-07,SR05A-CS-FOFB-01,6,2,1,6,36,0
SR06A-PC-HSTR-01,SR06A-CS-FOFB-01,5,0,1,0,37,0
SR06A-PC-HSTR-02,SR06A-CS-FOFB-01,5,1,1,1,38,0
SR06A-PC-HSTR-03,SR06A-CS-FOFB-01,5,2,1,2,39,0
SR06A-PC-HSTR-04,SR06A-CS-FOFB-01,5,3,1,3,40,0
SR06A-PC-HSTR-05,SR06A-CS-FOFB-01,6,0,1,4,41,0
SR06A-PC-HSTR-06,SR06A-CS-FOFB-01,6,1,1,5,42,0
SR06A-PC-HSTR-07,SR06A-CS-FOFB-01,6,2,1,6,43,0
SR07A-PC-HSTR-01,SR07A-CS-FOFB-01,5,0,1,0,44,0
SR07A-PC-HSTR-02,SR07A-CS-FOFB-01,5,1,1,1,45,0
SR07A-PC-HSTR-03,SR07A-CS-FOFB-01,5,2,1,2,46,0
SR07A-PC-HSTR-04,SR07A-CS-FOFB-01,5,3,1,3,47,0
SR07A-PC-HSTR-05,SR07A-CS-FOFB-01,6,0,1,4,48,0
SR07A-PC-HSTR-06,SR07A-CS-FOFB-01,6,1,1,5,49,0
SR07A-PC-HSTR-07,SR07A-CS-FOFB-01,6,2,1,6,50,0
SR08A-PC-HSTR-01,SR08A-CS-FOFB-01,5,0,1,0,51,0
SR08A-PC-HSTR-02,SR08A-CS-FOFB-01,5,1,1,1,52,0
SR08A-PC-HSTR-03,SR08A-CS-FOFB-01,5,2,1,2,53,0
